type,label,leaflet,in_raft,is_pip,phase,x,y,z,q1,q2,q3,q4
lipid_HEAD,POPC,sup,0,0,fluid,0.525,240.481,18.253,0.05137,-0.143985,-0.988246,0.0
lipid_HEAD,POPC,sup,0,0,fluid,464.864,304.592,13.085,0.063631,0.348873,0.935007,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,147.033,372.504,18.894,0.01156,0.853345,0.521218,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,264.88,226.429,19.451,0.053438,0.419615,0.906128,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,293.337,106.243,23.25,0.046544,-0.925527,0.375809,0.0
lipid_HEAD,POPC,sup,0,0,fluid,9.762,134.68,18.044,0.049039,0.689753,-0.722383,0.0
lipid_HEAD,POPC,sup,0,0,fluid,282.521,355.156,15.301,0.053786,0.273188,-0.960456,0.0
lipid_HEAD,POPC,sup,0,0,fluid,230.099,294.312,15.44,0.064387,0.978604,-0.195418,0.0
lipid_HEAD,POPC,sup,0,0,fluid,218.879,6.444,19.133,0.062232,0.234961,-0.970011,0.0
lipid_HEAD,POPC,sup,0,0,fluid,426.289,261.244,17.787,0.043934,-0.946943,-0.318383,0.0
lipid_HEAD,POPC,sup,0,0,fluid,112.107,201.874,17.333,0.096662,-0.891044,0.443505,0.0
lipid_HEAD,POPC,sup,0,0,fluid,250.812,102.662,23.263,0.017687,0.998346,0.054699,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,27.388,272.356,13.408,0.067018,-0.989471,-0.128282,0.0
lipid_HEAD,POPC,sup,0,0,fluid,444.56,379.502,16.058,0.057933,0.929084,0.365302,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,499.458,213.194,18.913,0.061063,0.5183,0.853016,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,306.842,417.814,21.627,0.028958,0.432255,0.901286,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,122.148,469.081,17.272,0.056733,0.903183,-0.42549,0.0
lipid_HEAD,POPC,sup,0,0,fluid,338.583,38.007,22.419,0.05433,0.059636,-0.996741,0.0
lipid_HEAD,POPC,sup,0,0,fluid,461.569,30.312,17.997,0.034158,0.41729,-0.908131,0.0
lipid_HEAD,POPC,sup,0,0,fluid,438.805,44.54,18.309,0.032971,0.890473,0.45384,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,24.64,373.883,13.672,0.043218,-0.972783,0.227651,0.0
lipid_HEAD,POPC,sup,0,0,fluid,423.443,497.026,17.974,0.01077,0.726909,0.68665,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,444.354,74.407,18.588,0.010203,0.871503,-0.490284,0.0
lipid_HEAD,POPC,sup,0,0,fluid,94.944,325.632,13.757,0.031996,0.273318,0.961391,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,13.008,312.772,10.09,0.045218,0.459953,-0.886791,0.0
lipid_HEAD,POPC,sup,0,0,fluid,292.29,387.897,17.837,0.06139,-0.937331,0.34299,0.0
lipid_HEAD,POPC,sup,0,0,fluid,237.341,380.207,18.91,0.056451,-0.309723,-0.94915,0.0
lipid_HEAD,POPC,sup,0,0,fluid,464.117,120.151,20.83,0.040569,-0.895551,0.443107,0.0
lipid_HEAD,POPC,sup,0,0,fluid,15.257,398.48,14.99,0.030847,0.998553,0.044049,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,311.975,481.265,22.018,0.016128,-0.438011,-0.898825,0.0
lipid_HEAD,POPC,sup,0,0,fluid,233.898,236.363,19.245,0.011375,0.975366,-0.220297,0.0
lipid_HEAD,POPC,sup,0,0,fluid,291.744,441.651,21.031,0.207494,-0.149841,0.966692,0.0
lipid_HEAD,POPC,sup,0,0,fluid,354.221,51.323,22.004,0.031992,0.816001,-0.577164,0.0
lipid_HEAD,POPC,sup,0,0,fluid,281.35,99.927,23.063,0.023226,-0.433122,-0.901036,0.0
lipid_HEAD,POPC,sup,0,0,fluid,308.358,18.309,20.922,0.058626,-0.902918,-0.425795,0.0
lipid_HEAD,POPC,sup,0,0,fluid,444.114,263.178,15.494,0.065782,-0.739078,0.6704,0.0
lipid_HEAD,POPC,sup,0,0,fluid,472.076,351.293,13.683,0.01068,0.494484,-0.869121,0.0
lipid_HEAD,POPC,sup,0,0,fluid,408.312,358.225,13.031,0.245937,0.951974,-0.182377,0.0
lipid_HEAD,POPC,sup,0,0,fluid,457.042,313.77,11.432,0.12336,-0.155869,-0.980045,0.0
lipid_HEAD,POPC,sup,0,0,fluid,248.299,450.048,19.739,0.01524,-0.20975,-0.977636,0.0
lipid_HEAD,POPC,sup,0,0,fluid,126.811,37.694,23.975,0.064363,0.26208,0.962897,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,284.85,98.902,22.172,0.017517,0.385629,-0.922488,0.0
lipid_HEAD,POPC,sup,0,0,fluid,382.494,499.689,18.938,0.031688,0.726472,-0.686465,0.0
lipid_HEAD,POPC,sup,0,0,fluid,200.916,248.874,20.694,0.033626,0.350674,0.935894,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,325.322,103.791,20.946,0.046911,-0.986724,-0.155481,0.0
lipid_HEAD,POPC,sup,0,0,fluid,7.768,150.877,18.208,0.031139,0.200793,-0.979139,0.0
lipid_HEAD,POPC,sup,0,0,fluid,423.585,411.545,15.744,0.046519,-0.942015,-0.332331,0.0
lipid_HEAD,POPC,sup,0,0,fluid,149.41,480.978,19.062,0.04608,-0.572182,-0.818831,0.0
lipid_HEAD,POPC,sup,0,0,fluid,422.267,278.853,15.478,0.020353,-0.901983,-0.431292,0.0
lipid_HEAD,POPC,sup,0,0,fluid,408.247,370.617,15.055,0.017464,0.800807,-0.598667,0.0
lipid_HEAD,POPC,sup,0,0,fluid,279.27,332.288,12.864,0.042702,0.986229,-0.159775,0.0
lipid_HEAD,POPC,sup,0,0,fluid,119.457,312.86,14.428,0.062072,-0.290551,0.954844,0.0
lipid_HEAD,POPC,sup,0,0,fluid,207.095,381.204,18.533,0.031644,0.614738,0.788096,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,105.573,344.391,15.113,0.131327,-0.350598,-0.927272,0.0
lipid_HEAD,POPC,sup,0,0,fluid,24.21,22.706,19.091,0.038671,0.888394,0.45745,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,8.29,18.136,18.896,0.059225,0.435738,-0.898123,0.0
lipid_HEAD,POPC,sup,0,0,fluid,138.612,12.42,21.294,0.029854,-0.961595,0.272845,0.0
lipid_HEAD,POPC,sup,0,0,fluid,148.21,53.965,25.693,0.048812,0.225775,0.972956,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,167.71,291.62,17.87,0.024462,-0.983772,0.177746,0.0
lipid_HEAD,POPC,sup,0,0,fluid,157.346,156.592,24.605,0.020132,0.037825,-0.999082,0.0
lipid_HEAD,POPC,sup,0,0,fluid,403.181,93.398,21.234,0.025104,0.490492,-0.871084,0.0
lipid_HEAD,POPC,sup,0,0,fluid,403.275,450.087,17.748,0.037775,0.902201,-0.429659,0.0
lipid_HEAD,POPC,sup,0,0,fluid,102.183,119.573,24.789,0.043544,-0.163386,0.985601,0.0
lipid_HEAD,POPC,sup,0,0,fluid,194.064,401.661,19.255,0.026722,0.763534,-0.645214,0.0
lipid_HEAD,POPC,sup,0,0,fluid,378.918,287.711,13.964,0.063972,0.825118,0.561327,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,405.241,399.159,14.462,0.029054,-0.550142,-0.834565,0.0
lipid_HEAD,POPC,sup,0,0,fluid,139.006,249.274,16.01,0.024725,0.998148,-0.055586,0.0
lipid_HEAD,POPC,sup,0,0,fluid,434.217,129.752,20.62,0.022785,-0.809574,0.586576,0.0
lipid_HEAD,POPC,sup,0,0,fluid,186.27,183.838,24.038,0.032153,-0.622191,-0.782205,0.0
lipid_HEAD,POPC,sup,0,0,fluid,400.235,113.009,22.216,0.241722,-0.962094,0.126276,0.0
lipid_HEAD,POPC,sup,0,0,fluid,42.464,226.887,14.037,0.061006,-0.82298,0.564785,0.0
lipid_HEAD,POPC,sup,0,0,fluid,193.032,93.516,25.806,0.026919,-0.967677,-0.250754,0.0
lipid_HEAD,POPC,sup,0,0,fluid,295.271,256.11,16.607,0.025211,0.13003,-0.991189,0.0
lipid_HEAD,POPC,sup,0,0,fluid,403.22,486.997,17.093,0.04622,-0.34371,-0.937938,0.0
lipid_HEAD,POPC,sup,0,0,fluid,442.218,111.52,21.656,0.044809,0.96813,-0.246408,0.0
lipid_HEAD,POPC,sup,0,0,fluid,97.6,218.836,16.422,0.038556,0.948647,-0.313979,0.0
lipid_HEAD,POPC,sup,0,0,fluid,462.882,449.814,18.362,0.008069,0.856304,-0.51641,0.0
lipid_HEAD,POPC,sup,0,0,fluid,310.203,46.931,20.996,0.057477,0.843256,-0.53443,0.0
